,entity,event
22_12ecbplus_2,12,7
22_14ecbplus_2,11,7
45_4ecb_0,10,4
27_13ecb_1,10,3
18_5ecbplus_2,9,7
29_7ecbplus_2,9,6
41_4ecb_0,9,5
9_9ecb_0,9,3
41_6ecb_1,9,2
1_5ecbplus_2,8,9
18_11ecbplus_2,8,8
18_3ecbplus_2,8,8
43_5ecbplus_2,8,7
3_1ecbplus_2,8,7
12_3ecbplus_2,8,6
45_2ecb_0,8,6
36_3ecbplus_2,8,5
36_6ecbplus_2,8,5
39_6ecbplus_3,8,5
43_2ecbplus_3,8,5
1_1ecbplus_3,8,5
1_7ecbplus_2,8,5
16_8ecbplus_2,8,5
27_3ecbplus_3,8,5
27_8ecbplus_3,8,5
21_12ecbplus_2,8,4
21_1ecbplus_3,8,4
21_7ecbplus_3,8,4
45_2ecb_2,8,4
41_6ecbplus_9,8,4
27_5ecb_1,8,4
1_4ecbplus_6,8,4
21_4ecbplus_4,8,3
34_3ecbplus_2,8,3
33_1ecb_0,8,2
39_4ecb_0,8,1
22_2ecbplus_3,7,9
1_2ecbplus_3,7,7
33_11ecbplus_2,7,7
12_1ecbplus_2,7,6
18_8ecbplus_2,7,6
1_21ecbplus_6,7,6
26_3ecbplus_3,7,6
12_4ecbplus_2,7,5
12_8ecbplus_0,7,5
18_1ecbplus_2,7,5
25_6ecb_1,7,5
28_5ecb_1,7,5
31_11ecbplus_2,7,5
31_5ecbplus_2,7,5
31_6ecbplus_2,7,5
33_3ecbplus_0,7,5
21_3ecb_1,7,4
2_9ecbplus_2,7,4
21_9ecbplus_3,7,4
41_4ecbplus_3,7,4
9_2ecb_0,7,4
26_4ecb_0,7,4
27_7ecb_1,7,4
27_9ecb_1,7,4
27_9ecb_2,7,4
1_12ecbplus_2,7,4
1_18ecbplus_3,7,4
1_4ecbplus_5,7,4
3_7ecbplus_1,7,4
24_7ecbplus_2,7,4
34_16ecb_1,7,3
5_2ecbplus_3,7,3
41_7ecb_3,7,3
41_8ecbplus_2,7,3
9_8ecb_0,7,3
27_13ecb_2,7,3
1_8ecbplus_4,7,3
24_9ecbplus_3,7,3
27_11ecbplus_2,7,3
39_5ecbplus_3,7,2
7_1ecb_0,7,2
27_10ecb_1,7,2
33_3ecb_0,7,2
37_4ecbplus_2,6,12
37_9ecbplus_2,6,12
37_1ecbplus_2,6,10
44_10ecbplus_2,6,9
44_2ecbplus_2,6,9
